1,UNITED ARAB EMIRATES (THE),UAE Dirham,AED,784
2,AUSTRALIA,Australian Dollar,AUD,36
3,CHRISTMAS ISLAND,Australian Dollar,AUD,36
4,COCOS (KEELING) ISLANDS (THE),Australian Dollar,AUD,36
5,HEARD ISLAND AND McDONALD ISLANDS,Australian Dollar,AUD,36
6,KIRIBATI,Australian Dollar,AUD,36
7,NAURU,Australian Dollar,AUD,36
8,NORFOLK ISLAND,Australian Dollar,AUD,36
9,TUVALU,Australian Dollar,AUD,36
10,BRAZIL,Brazilian Real,BRL,986
11,BOTSWANA,Pula,BWP,72
12,CANADA,Canadian Dollar,CAD,124
13,SWITZERLAND,Swiss Franc,CHF,756
14,LIECHTENSTEIN,Swiss Franc,CHF,756
15,CHILE,Chilean Peso,CLP,152
16,CHINA,Yuan Renminbi,CNY,156
17,COLOMBIA,Colombian Peso,COP,170
18,CZECH REPUBLIC (THE),Czech Koruna,CZK,203
19,DENMARK,Danish Krone,DKK,208
20,FAROE ISLANDS (THE),Danish Krone,DKK,208
21,GREENLAND,Danish Krone,DKK,208
22,ALGERIA,Algerian Dinar,DZD,12
23,MALTA,Euro,EUR,978
24,LITHUANIA,Euro,EUR,978
25,MARTINIQUE,Euro,EUR,978
26,LATVIA,Euro,EUR,978
27,ITALY,Euro,EUR,978
28,MAYOTTE,Euro,EUR,978
29,IRELAND,Euro,EUR,978
30,HOLY SEE (THE),Euro,EUR,978
31,FRENCH GUIANA,Euro,EUR,978
32,FRANCE,Euro,EUR,978
33,GUADELOUPE,Euro,EUR,978
34,MONACO,Euro,EUR,978
35,GREECE,Euro,EUR,978
36,MONTENEGRO,Euro,EUR,978
37,GERMANY,Euro,EUR,978
38,FRENCH SOUTHERN TERRITORIES (THE),Euro,EUR,978
39,FINLAND,Euro,EUR,978
40,EUROPEAN UNION,Euro,EUR,978
41,ESTONIA,Euro,EUR,978
42,CYPRUS,Euro,EUR,978
43,ANDORRA,Euro,EUR,978
44,AUSTRIA,Euro,EUR,978
45,NETHERLANDS (THE),Euro,EUR,978
46,BELGIUM,Euro,EUR,978
47,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),Pound Sterling,GBP,826
48,JERSEY,Pound Sterling,GBP,826
49,ISLE OF MAN,Pound Sterling,GBP,826
50,GUERNSEY,Pound Sterling,GBP,826
51,HONG KONG,Hong Kong Dollar,HKD,344
52,HUNGARY,Forint,HUF,348
53,ISRAEL,New Israeli Sheqel,ILS,376
54,BHUTAN,Indian Rupee,INR,356
55,INDIA,Indian Rupee,INR,356
56,ICELAND,Iceland Krona,ISK,352
57,JAPAN,Yen,JPY,392
58,KOREA (THE REPUBLIC OF),Won,KRW,410
59,KAZAKHSTAN,Tenge,KZT,398
60,SRI LANKA,Sri Lanka Rupee,LKR,144
61,LIBYA,Libyan Dinar,LYD,434
62,MAURITIUS,Mauritius Rupee,MUR,480
63,MEXICO,Mexican Peso,MXN,484
64,MALAYSIA,Malaysian Ringgit,MYR,458
65,SVALBARD AND JAN MAYEN,Norwegian Krone,NOK,578
66,NORWAY,Norwegian Krone,NOK,578
67,BOUVET ISLAND,Norwegian Krone,NOK,578
68,NEPAL,Nepalese Rupee,NPR,524
69,TOKELAU,New Zealand Dollar,NZD,554
70,PITCAIRN,New Zealand Dollar,NZD,554
71,NIUE,New Zealand Dollar,NZD,554
72,NEW ZEALAND,New Zealand Dollar,NZD,554
73,COOK ISLANDS (THE),New Zealand Dollar,NZD,554
74,OMAN,Rial Omani,OMR,512
75,PERU,Nuevo Sol,PEN,604
76,PHILIPPINES (THE),Philippine Peso,PHP,608
77,PAKISTAN,Pakistan Rupee,PKR,586
78,POLAND,Zloty,PLN,985
79,QATAR,Qatari Rial,QAR,634
80,RUSSIAN FEDERATION (THE),Russian Ruble,RUB,643
81,SAUDI ARABIA,Saudi Riyal,SAR,682
82,SWEDEN,Swedish Krona,SEK,752
83,SINGAPORE,Singapore Dollar,SGD,702
84,THAILAND,Baht,THB,764
85,TUNISIA,Tunisian Dinar,TND,788
86,TRINIDAD AND TOBAGO,Trinidad and Tobago Dollar,TTD,780
87,VIRGIN ISLANDS (U.S.),US Dollar,USD,840
88,UNITED STATES OF AMERICA (THE),US Dollar,USD,840
89,PALAU,US Dollar,USD,840
90,VIRGIN ISLANDS (BRITISH),US Dollar,USD,840
91,UNITED STATES MINOR OUTLYING ISLANDS (THE),US Dollar,USD,840
92,TURKS AND CAICOS ISLANDS (THE),US Dollar,USD,840
93,TIMOR-LESTE,US Dollar,USD,840
94,PUERTO RICO,US Dollar,USD,840
95,PANAMA,US Dollar,USD,840
96,NORTHERN MARIANA ISLANDS (THE),US Dollar,USD,840
97,MICRONESIA (FEDERATED STATES OF),US Dollar,USD,840
98,MARSHALL ISLANDS (THE),US Dollar,USD,840
99,HAITI,US Dollar,USD,840
100,GUAM,US Dollar,USD,840
101,EL SALVADOR,US Dollar,USD,840
102,ECUADOR,US Dollar,USD,840
103,BRITISH INDIAN OCEAN TERRITORY (THE),US Dollar,USD,840
104,BONAIRE SINT EUSTATIUS AND SABA,US Dollar,USD,840
105,AMERICAN SAMOA,US Dollar,USD,840
106,URUGUAY,Peso Uruguayo,UYU,858
107,VENEZUELA (BOLIVARIAN REPUBLIC OF),Bolivar,VEF,937
108,SOUTH AFRICA,Rand,ZAR,710
109,NAMIBIA,Rand,ZAR,710
110,LESOTHO,Rand,ZAR,710
